idx,usage,sentence1,sentence2,ground_truth_label
1,select,"The Infineon case began in August 2000 , when Rambus accused Infineon of patent infringement and Infineon counter-sued Rambus for breach of contract and fraud .","At that time , Rambus accused Infineon of patent infringement and Infineon countersued Rambus for breach of contract and fraud .",1
2,select,"The Centers for Medicare and Medicaid Services , the federal agency that runs Medicare , last year began a similar effort for nursing homes .",The Centers for Medicare and Medicaid launched a similar consumer tool for nursing homes last year .,1
3,select,"The SEC specifically advised IBM that this is a fact-finding investigation and that it has not reached any conclusions related to this matter , IBM said in a statement .",Big Blue says the SEC calls the action a fact-finding investigation and has not reached any conclusions related to this matter .,1
4,select,"CAPPS II will not use bank records , records indicating creditworthiness or medical records . ""","CAPPS II will not use bank records , credit records , or medical records , according to Loy and Kelly .",1
5,select,"O 'Donnell wrote in her autobiography , "" Find Me , "" that she was "" an abused child . ""","In her autobiography , "" Find Me , "" O 'Donnell wrote , "" I was an abused kid .",1
6,select,"While robbery appeared to be the motive , the suspects drove off before taking anything .","While robbery appeared to be the motive , the suspects fled before they could take anything , he said .",1
7,select,"Woodley , who underwent a liver transplant in 1992 , died of liver and kidney failure .","Mr. Woodley died Sunday at age 44 of liver and kidney failure in his native Shreveport , La .",0
8,select,"It ended a diplomatic drought between the two nations , at odds for months over North Korea 's nuclear program and American demands that it cease .","The contact between the delegations ended a diplomatic drought between the two nations , at odds over the nuclear program and U.S. demands that it cease immediately .",1
9,select,A tradition of Labor Day racing was established long ago in the Inland Empire .,There is a tradition of Labor Day racing in the Inland Valley .,1
10,select,""" Certainly what we know suggests that we should take what they 're saying very seriously , "" he added .",""" We don 't know everything [ but ] what we know suggests that we should take what they 're saying seriously , "" he said .",0
11,select,North American markets finished mixed in directionless trading Monday as earnings season begins to slow and economic indicators move into the spotlight .,"North American markets grabbed early gains Monday morning , as earnings season begins to slow and economic indicators take the spotlight .",0
