sentence_id,sentence_type,sentence_text,feature_27161_activation
P1,positive,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",10.968472
P2,positive,cinematic bon bons ,12.215538
P3,positive,speak for it while it forces you to ponder anew what a movie can be ,13.094274
P4,positive,"minority report is exactly what the title indicates , a report . ",12.251635
P5,positive,a giggle a minute . ,13.673851
P6,positive,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,13.159792
P7,positive,"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film . ",8.672351
P8,positive,blanchett 's performance confirms her power once again . ,12.981589
P9,positive,"a warm , funny , engaging film . ",12.693179
P10,positive,good-natured fun found in films like tremors ,14.256612
P11,positive,"this is a good script , good dialogue , funny even for adults . ",13.969312
P12,positive,we have n't seen such hilarity since say it is n't so ! ,13.381391
P13,positive,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ",10.840975
P14,positive,on all cylinders ,12.196486
P15,positive,"caruso sometimes descends into sub-tarantino cuteness ... but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty . ",10.726703
P16,positive,"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit . ",11.114442
P17,positive,fashioning an engrossing entertainment out ,12.849899
P18,positive,largest-ever historical canvas ,13.778552
P19,positive,you have ellen pompeo sitting next to you for the ride ,13.547324
P20,positive,reign of fire looks as if it was made without much thought -- and is best watched that way . ,11.486055
P21,positive,it 's smooth and professional ,14.046697
P22,positive,"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all . ",11.345382
P23,positive,a fairly revealing study of its two main characters ,14.847121
P24,positive,"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",9.773509
P25,positive,manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ,12.024121
P26,positive,"for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions . ",12.163096
P27,positive,joyous romp of a film . ,11.650123
P28,positive,in addition to hoffman 's powerful acting clinic ,13.790882
P29,positive,as unseemly as its title suggests . ,14.922984
P30,positive,of saucy ,11.294363
N1,negative,"all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that . ",10.162772
N2,negative,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines . ,11.878295
N3,negative,"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them . ",11.490781
N4,negative,"an overemphatic , would-be wacky , ultimately tedious sex farce . ",12.168626
N5,negative,"it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue . ",10.862008
N6,negative,"deadeningly dull , mired in convoluted melodrama , nonsensical jargon and stiff-upper-lip laboriousness . ",10.616715
N7,negative,"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal . ",11.500191
N8,negative,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,12.094928
N9,negative,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in . ,10.542852
N10,negative,"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally . ",10.573549
N11,negative,"of the road , where the thematic ironies are too obvious and the sexual politics too smug ",13.425729
N12,negative,"the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate . ",13.045339
N13,negative,"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",10.007050
N14,negative,a by-the-numbers patient/doctor pic that covers all the usual ground ,11.196157
N15,negative,"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",10.210632
N16,negative,absolutely and completely ridiculous and ,14.968902
N17,negative,"given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done . ",11.459324
N18,negative,"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one . ",12.646953
N19,negative,it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . ,13.404992
N20,negative,the cold turkey would 've been a far better title . ,13.666080
N21,negative,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers . ",11.516433
N22,negative,carnage and ,13.164900
N23,negative,"feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot . ",8.477250
N24,negative,one long string of cliches . ,17.429255
N25,negative,"the movie is almost completely lacking in suspense , surprise and consistent emotional conviction . ",13.570951
N26,negative,"the story of trouble every day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and the movie 's fragmentary narrative style makes piecing the story together frustrating difficult . ",10.615832
N27,negative,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ",11.658953
N28,negative,"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be . ",11.084391
N29,negative,"( t ) here 's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them . ",9.334428
N30,negative,it takes talent to make a lifeless movie about the most heinous man who ever lived . ,13.667097
