idx,usage,sentence,ground_truth_label
1,select,"... a fun little timewaster , helped especially by the cool presence of jean reno . ",1
2,select,a lively and engaging examination of how similar obsessions can dominate a family . ,1
3,select,"if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then esther 's story is a compelling quest for truth . ",1
4,select,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ",1
5,select,"the chateau , a sense of light-heartedness , that makes it attractive throughout ",1
6,select,"majidi is an unconventional storyteller , capable of finding beauty in the most depressing places . ",1
7,select,"a smart , witty follow-up . ",1
8,select,a deceptively casual ode ,1
9,select,enriched by an imaginatively mixed cast of antic spirits ,1
10,select,old-form moviemaking at its best . ,1
11,select,it provides an honest look at a community striving to anchor itself in new grounds . ,1
12,select,"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image . ",1
13,select,broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,1
14,select,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1
15,select,intriguing species ,1
16,select,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ",1
17,select,'s a very tasteful rock and roll movie . ,1
18,select,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1
19,select,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . ,1
20,select,it 's a remarkably solid and subtly satirical tour de force . ,1
21,select,"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",1
22,select,"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1
23,select,"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination . ",1
24,select,cq 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors . ,1
25,select,have i seen a film so willing to champion the fallibility of the human heart ,1
26,select,"nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head . ",1
27,select,film to affirm love 's power to help people endure almost unimaginable horror ,1
28,select,a quiet treasure -- a film to be savored . ,1
29,select,"still , as a visual treat , the film is almost unsurpassed . ",1
30,select,very psychoanalytical -- provocatively so -- and also refreshingly literary . ,1
31,select,high-concept films ,1
32,select,oh-so-important ,1
33,select,"a gorgeous , witty , seductive movie . ",1
34,select,"with color and depth , and rather a good time ",1
35,select,"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time . ",1
36,select,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ",1
37,select,"an entertaining , colorful , action-filled crime story with an intimate heart . ",1
38,select,free ,1
39,select,extraordinary faith ,1
40,select,one of the most significant moviegoing pleasures of the year . ,1
41,select,"exciting and direct , with ghost imagery that shows just enough to keep us on our toes . ",1
42,select,", this gender-bending comedy is generally quite funny . ",1
43,select,"it proves quite compelling as an intense , brooding character study . ",1
44,select,a marvel like none you 've seen . ,1
45,select,very funny joke ,1
46,select,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ",1
47,select,the performances take the movie to a higher level . ,1
48,select,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1
49,select,"comes from the brave , uninhibited performances ",1
50,select,"an important movie , a reminder of the power of film to move us and to make us examine our values . ",1
51,select,the picture 's fascinating byways ,1
52,select,"highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up . ",1
53,select,rare birds has more than enough charm to make it memorable . ,1
54,select,significantly better ,1
55,select,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1
56,select,"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting . ",1
57,select,"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . ",1
58,select,enables shafer to navigate spaces both large ... and small ... with considerable aplomb ,1
59,select,are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,1
60,select,"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . ",1
61,select,"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work . ",1
62,select,"a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1
63,select,things will turn out okay ,1
64,select,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ",1
65,select,just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart ,1
66,select,if you dig on david mamet 's mind tricks ... rent this movie and enjoy ! ,1
67,select,"as a young woman of great charm , generosity and diplomacy ",1
68,select,"'s a work that , with humor , warmth , and intelligence , captures a life interestingly lived ",1
69,select,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1
70,select,you 're gon na like this movie . ,1
71,select,"the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . ",1
72,select,rich and sudden wisdom ,1
73,select,with his usual intelligence and subtlety ,1
74,select,"the film is powerful , accessible and funny . ",1
75,select,affleck and jackson are good sparring partners . ,1
76,select,good old-fashioned slash-and-hack is back ! ,1
77,select,"kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth . ",1
78,select,considerable aplomb ,1
79,select,arrive early and stay late ,1
80,select,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe . ",1
81,select,candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work . ,1
82,select,'s pleasant enough -- and oozing with attractive men ,1
83,select,"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland . ",1
84,select,the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions . ,1
85,select,a solid examination of the male midlife crisis . ,1
86,select,"crackerjack entertainment -- nonstop romance , music , suspense and action . ",1
87,select,my thoughts were focused on the characters . ,1
88,select,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,1
89,select,` easily my choice for one of the year 's best films . ' ,1
90,select,"a poignant , artfully crafted meditation on mortality . ",1
91,select,"that uses a sensational , real-life 19th-century crime as a metaphor for ",1
92,select,"at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history . ",1
93,select,there has always been something likable about the marquis de sade . ,1
94,select,"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises . ",1
95,select,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1
96,select,"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . ",1
97,select,"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats . ",1
98,select,"offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends . ",1
99,select,the wonderful cinematography and naturalistic acting ,1
100,select,worth watching for dong jie 's performance -- and for the way it documents a culture in the throes of rapid change . ,1
101,select,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1
102,select,to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside ,1
103,select,moving and important ,1
104,select,"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film . ",1
105,select,what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts . ,1
106,select,a masterpiece ,1
107,select,"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache . ",1
108,select,"even if you do n't think ( kissinger 's ) any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch . ",1
109,select,"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists . ",1
110,select,the second coming of harry potter is a film far superior to its predecessor . ,1
111,select,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1
112,select,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ",1
113,select,filmmakers who can deftly change moods are treasures and even marvels . ,1
114,select,"feature debuter d.j. caruso directs a crack ensemble cast , bringing screenwriter tony gayton 's narcotics noir to life . ",1
115,select,a technically superb film ,1
116,select,is effective if you stick with it ,1
117,select,has a lot of the virtues of eastwood at his best . ,1
118,select,"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality . ",1
119,select,that underscore the importance of family tradition and familial community ,1
120,select,the movie does a good job of laying out some of the major issues that we encounter as we journey through life . ,1
121,select,are an absolute joy ,1
122,select,"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",1
123,select,"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners . ",1
124,select,a beautifully ,1
125,select,"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",1
126,select,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn . ,1
127,select,luminous interviews and amazingly evocative film from three decades ago ,1
128,select,a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love . ,1
129,select,showing honest emotions ,1
130,select,"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself . ",1
131,select,"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . ",1
132,select,"a quiet , pure , elliptical film ",1
133,select,and in the best way ,1
134,select,"it 's about following your dreams , no matter what your parents think . ",1
135,select,"the film is quiet , threatening and unforgettable . ",1
136,select,it 's fun lite . ,1
137,select,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1
138,select,"exhilarating , funny and fun . ",1
139,select,for the most part stevens glides through on some solid performances and witty dialogue . ,1
140,select,"director of photography benoit delhomme shot the movie in delicious colors , and the costumes and sets are grand . ",1
141,select,the most purely enjoyable and satisfying evenings ,1
