idx,usage,sentence,ground_truth_label
1,select,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ",0
2,select,the plot convolutions ultimately add up to nothing more than jerking the audience 's chain . ,0
3,select,its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,0
4,select,i got a headache watching this meaningless downer . ,0
5,select,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ",0
6,select,the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work . ,0
7,select,"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ",0
8,select,i hate it . ,0
9,select,"complete lack of originality , cleverness or even visible effort ",0
10,select,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0
11,select,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,0
12,select,"when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while . ",0
13,select,"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . ",0
14,select,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ",0
15,select,"it 's too harsh to work as a piece of storytelling , ",0
16,select,"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ",0
17,select,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,0
18,select,"it 's a cookie-cutter movie , a cut-and-paste job . ",0
19,select,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",0
20,select,the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,0
21,select,an extremely unpleasant film . ,0
22,select,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,0
23,select,"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",0
24,select,"i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand . ",0
25,select,tries to add some spice to its quirky sentiments but the taste is all too familiar . ,0
26,select,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0
27,select,it is supremely unfunny and unentertaining to watch middle-age and ,0
28,select,starts off so bad that you feel like running out screaming ,0
29,select,"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0
30,select,"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original . ",0
31,select,"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast . ",0
32,select,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0
33,select,"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . ",0
34,select,suffers from the lack of a compelling or comprehensible narrative . ,0
35,select,"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination . ",0
36,select,"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0
37,select,"unfortunately , it 's not silly fun unless you enjoy really bad movies . ",0
38,select,"no one involved , save dash , shows the slightest aptitude for acting ",0
39,select,my reaction in a word : disappointment . ,0
40,select,"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",0
41,select,"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",0
42,select,"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",0
43,select,"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . ",0
44,select,"yes , dull . ",0
45,select,"walked out muttering words like `` horrible '' and `` terrible , '' ",0
46,select,"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",0
47,select,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",0
48,select,"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards . ",0
49,select,"of course , by more objective measurements it 's still quite bad . ",0
50,select,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0
51,select,it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,0
52,select,"the title not only describes its main characters , but the lazy people behind the camera as well . ",0
53,select,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ",0
54,select,"offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm . ",0
55,select,contains very few laughs and even less surprises ,0
56,select,"and when you 're talking about a slapstick comedy , that 's a pretty big problem . ",0
57,select,"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",0
58,select,"this one is definitely one to skip , even for horror movie fanatics . ",0
59,select,"contains no wit , only labored gags ",0
60,select,"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . ",0
61,select,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0
62,select,"because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling . ",0
63,select,"dull , lifeless , and amateurishly assembled . ",0
64,select,"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there . ",0
65,select,a bad idea from frame one ,0
66,select,"there 's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging . ",0
67,select,"forced , familiar and thoroughly condescending . ",0
68,select,overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube . ,0
69,select,"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly . ",0
70,select,"the result is a gaudy bag of stale candy , something from a halloween that died . ",0
71,select,"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment . ",0
72,select,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,0
