idx,usage,sentence1,sentence2,ground_truth_label
1,select,"The Infineon case began in August 2000 , when Rambus accused Infineon of patent infringement and Infineon counter-sued Rambus for breach of contract and fraud .","At that time , Rambus accused Infineon of patent infringement and Infineon countersued Rambus for breach of contract and fraud .",1
2,select,"The SEC specifically advised IBM that this is a fact-finding investigation and that it has not reached any conclusions related to this matter , IBM said in a statement .",Big Blue says the SEC calls the action a fact-finding investigation and has not reached any conclusions related to this matter .,1
3,select,"O 'Donnell wrote in her autobiography , "" Find Me , "" that she was "" an abused child . ""","In her autobiography , "" Find Me , "" O 'Donnell wrote , "" I was an abused kid .",1
4,select,"While robbery appeared to be the motive , the suspects drove off before taking anything .","While robbery appeared to be the motive , the suspects fled before they could take anything , he said .",1
5,select,"It ended a diplomatic drought between the two nations , at odds for months over North Korea 's nuclear program and American demands that it cease .","The contact between the delegations ended a diplomatic drought between the two nations , at odds over the nuclear program and U.S. demands that it cease immediately .",1
6,select,"The hearing , expected to last a week , will determine whether Akbar faces a court-martial .",The purpose of the hearing is to determine whether Akbar should be court-martialled .,1
7,select,""" I don 't know if the person I 'm talking to now may end up being someone else at another time that may not follow the rules , "" Parrish said .",""" I don 't know whether the person I 'm talking to now may end up being someone else , "" Parrish said .",0
8,select,Environmental campaigners are using this weekend ’ s lunar eclipse to highlight the huge increase in light pollution across the UK .,Environmental campaigners used the eclipse to highlight the surge in light pollution across Britain .,1
9,select,"Robert Walsh , 40 , remained in critical but stable condition Friday at Staten Island University Hospital 's north campus .","Walsh , also 40 , was in critical but stable condition at Staten Island University Hospital last night .",1
10,select,"Harris and Klebold killed 12 students and a teacher before taking their own lives on April 20 , 1999 .","Harris and Klebold killed 12 students , a teacher and themselves at the school .",1
11,select,"Revenue jumped 26 percent to $ 817 million , the South San Francisco-based company said in a statement .","Revenue rose 26 percent , to $ 817 million , the company , based in South San Francisco , Calif . , said .",1
12,select,"In interviews with engineers , most of whom have not spoken publicly until now , the lines of discord between NASA 's engineers and managers are evident .","In interviews with numerous engineers , most of whom have not spoken publicly until now , the lines of discord between NASA 's engineers and managers stand out in stark relief .",1
13,select,Defense Secretary Donald H. Rumsfeld and others argued that Saddam Hussein possessed chemical and biological weapons and was hiding them .,"Defense Secretary Donald H. Rumsfeld and others argued that Saddam Hussein ( news - web sites ) possessed chemical , biological and other weapons and was hiding them .",1
14,select,""" But that does not clear them of the obligation to do everything possible to protect civilians , and that is not what we 're seeing . """,""" But that does not clear them of the responsibility to do everything possible to minimize civilian harm . """,0
15,select,"In January 1996 , two of his nude models were arrested atop of a Manhattan snowdrift , posed beneath an ice-cream parlor sign that advertised Frozen Fantasies .","On Jan. 12 , 1996 , two of his nude models were arrested atop of a Manhattan snowdrift , posed beneath an ice-cream parlor sign that advertised "" Frozen Fantasies . """,1
16,select,"The airline also said it has the option to buy 380 more airplanes , orders that would be split evenly between the two manufacturers .","The airline has the option to buy 380 more , split evenly between the two manufacturers .",1
17,select,"In addition , juries in both state and federal cases have become increasingly reluctant to impose the death penalty .",Juries in state and federal cases alike have also grown reluctant to impose the death penalty .,1
18,select,"The other 18 people in the building , including Harrison 's ex-girlfriend , were not injured , police spokesman Don Aaron said .","The other 18 people inside the building - two visitors and 16 employees , including Harrison 's ex-girlfriend - escaped unharmed , Aaron said .",1
19,select,"The attack on the al-Rashid Hotel , during the visit of Deputy Defence Secretary Paul Wolfowitz underscores the nature of the problem .","The attack on the Rashid Hotel on Sunday , during the visit of the deputy secretary of defense , Paul D. Wolfowitz , underscores the nature of the problem .",1
20,select,"Gibson said last month in a press statement that "" neither I nor my film are anti-Semitic .",Gibson said in a June statement that he and his film are not anti-Semitic .,1
21,select,One of the Commission 's publicly stated goals is to ensure other producers ' server software can work with desktop computers running Windows as easily as Microsoft 's .,The Commission has publicly said one of its goals is to ensure other producers ' server software can connect to desktop computers running Windows as easily as Microsoft 's can .,1
22,select,The winner of the Williams-Mauresmo match will play the winner of Justine Henin-Hardenne vs. Chanda Rubin .,The Williams-Mauresmo winner will play the winner of the match between Justine Henin-Hardenne and Chanda Rubin .,1
23,select,"The Institute for Supply Management said its manufacturing index was 49.4 percent last month , up from 45.4 in April .","The Institute for Supply Management 's manufacturing index rose to 49.4 in May from 45.4 in April , the biggest monthly gain since December .",0
24,select,"In 2002 , for example , the Dow dropped more than 1,500 points , or 15.6 percent , between May and October , due largely to terrorism fears driven by headlines .","For example , the Dow dropped more than 1,500 points , or 15.6 percent , from May to October 2002 , largely because of terrorism fears driven by the headlines .",1
25,select,"Thomas was joined in full by Rehnquist , and in parts by O 'Connor and Scalia .",He was joined by Chief Justice William H. Rehnquist and Justices Sandra Day O 'Connor and Antonin Scalia .,1
26,select,""" He may not have been there , "" the defence official said on Thursday .",""" He may not have been there , "" said a defence official speaking on condition of anonymity .",1
27,select,"In March 2002 , 63 percent of home broadband users connected via cable modem ; 34 percent used a DSL service .","In the earlier survey , 63 percent of home broadband users had cable modems , compared with 34 percent who connected with DSL technology .",1
28,select,"Third-quarter revenue declined to $ 36.9 billion from $ 39.3 billion , primarily reflecting lower vehicle sales .","Revenue fell to $ 36.9bn from $ 39.3bn a year ago , mainly due to lower vehicle sales .",1
29,select,"The word Advent , from Latin , means "" the coming . ""","The season 's name comes from the Latin word adventus , which means "" coming . """,1
30,select,""" Accordingly , there needs to be more on the horizon than simply winning a war against terrorism .",""" There must be more on the horizon than simply winning a war against terrorism , "" namely , a "" promise of a better and fairer world . """,0
31,select,"The report released Monday simply says , This report does not attempt to address the complexities of this issue .","The document stated : "" This report does not attempt to address the complexities of this issue . """,1
32,select,In 1999 a California legislator proposed a law requiring driving tests for those over the age of 75 who sought to renew their licenses .,In 1999 a California state senator proposed a law requiring motorists over the age of 75 to take driving tests to renew their licenses .,1
33,select,"At the Pentagon , the Department of Defense 's Inspector General has separately been asked to investigate how the telecom licences were awarded .",But a source close to the Pentagon said the Defense Department 's own inspector-general had been asked to investigate how the licences were awarded .,1
34,select,""" Such communication will help adult smokers make more informed choices , "" company vice president Richard Verheij told a House Energy and Commerce subcommittee at a separate hearing .",""" Such communication will help adult smokers make more informed choices , "" company vice president Richard Verheij told a separate hearing , before a House Energy and Commerce subcommittee .",1
35,select,"Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said it appeared to have veered from its flight path because of the fog .","Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said initial information indicated it had veered from its flight path because of fog .",1
36,select,""" We have sent a message to the nation that this is a new Louisiana , "" she told a victory party in New Orleans .",""" We have sent a new message out to the nation — that this is a new Louisiana . """,1
37,select,Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .,1
38,select,""" We haven 't decided whether to use an unbroken or dotted white line , but this is an experiment worth introducing , "" said David Richardson , the ICC 's cricket manager .",""" We haven 't decided whether to use an unbroken or dotted white line , "" said Dave Richardson , the ICC 's cricket manager .",0
39,select,The IRS said taxpayers can avoid undelivered checks by having refunds deposited directly into their checking or savings accounts .,The IRS said taxpayers can avoid problems with lost or stolen refunds by having refunds deposited directly into personal checking or savings accounts .,1
40,select,"Next Monday at about 2 p.m. ( CST ) , hospital officials in and near Chicago will notice a sudden increase in people complaining of flu-like symptoms .","Around the same time , hospital officials in and near Chicago will notice a sudden increase in people complaining of flu-like symptoms .",1
41,select,"The product also features an updated release of the Apache Web server , as well as Apache Tomcat and Apache Axis .","Panther Server also includes an updated release of Apache , along with Apache Tomcat and Apache Axis for creating powerful web services .",0
42,select,"Michel , who remains in the government , denied that US pressure had provoked the government 's move .","Michel , who has stayed in the new government , denied that it was U.S. pressure which had provoked the government 's move .",1
43,select,Chiron already has nearly 20 percent acceptances from PowderJect 's shareholders .,Chiron has acceptances from holders of nearly 20 percent of PowderJect shares .,1
44,select,"Jordan Green , the prelate 's private lawyer , said he had no comment .","O 'Brien 's attorney , Jordan Green , declined to comment .",1
45,select,Columbia broke up over Texas upon re-entry on Feb. 1 .,Columbia broke apart in the skies above Texas on Feb. 1 .,1
46,select,"FCC Chairman Michael Powell said in a statement that the ruling would "" throw a monkey wrench into the FCC 's efforts to develop a vitally important national broadband policy . ""","He added that the decision will "" throw a monkey wrench into the FCC 's efforts to develop a vitally important national broadband policy . """,1
47,select,"Six countries have advised their citizens not to travel to Taiwan for any reason , the ministry said .","Spain , Poland , United Arab Emirates and Lithuania have advised their citizens not to travel to Taiwan for any reason .",1
48,select,Intel updated investors midway through the quarter and said business was proceeding exactly as planned .,"Intel said midway through its quarter , which ended in June , that business was exactly as expected .",1
49,select,"The girl turned up late Sunday at a convenience store in East Palo Alto , about 30 miles from her home .",The girl turned up late Sunday night at an East Palo Alto convenience store about 30 miles from her home .,1
50,select,Legato stockholders will get 0.9 of a share of EMC stock for every share of Legato they own .,"Under terms of the agreement , Legato stockholders will receive 0.9 shares of EMC common stock for each Legato share they hold .",1
51,select,"Oh yeah , Miami , Boston College and Syracuse leaving the Big East to take a seat in the Atlantic Coast Conference .","Boston College , Miami and Syracuse are considering leaving the Big East for the Atlantic Coast Conference by the end of the month .",1
52,select,"United issued a statement saying it will "" work professionally and cooperatively with all its unions . ""","Senior vice president Sara Fields said the airline "" will work professionally and cooperatively with all our unions . """,1
53,select,"Sen. Patrick Leahy of Vermont , the committee 's senior Democrat , later said the problem is serious but called Hatch 's suggestion too drastic .","Sen. Patrick Leahy , the committee 's senior Democrat , later said the problem is serious but called Hatch 's idea too drastic a remedy to be considered .",1
54,select,The Democratic candidates also began announcing their fund-raising totals before Wednesday 's deadline to file quarterly reports with the Federal Election Commission .,The Democratic candidates also began announcing their fund-raising totals in advance of the deadline today to file quarterly reports with the Federal Election Commission .,1
55,select,"Those in their twenties who ejaculated more than five times a week were one-third less likely to develop aggressive prostate cancer later in life , they say .",Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life .,1
56,select,"The Hartford shares rose $ 2.88 , or 6.6 percent , to close Monday at $ 46.50 on the New York Stock Exchange .",Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .,0
57,select,Experts said the case marks one of the first times in which a parent was charged with contributing to a child 's suicide .,Legal experts say the case may mark the first time a parent has been convicted of contributing to a child 's suicide .,1
58,select,Lee Peterson testified that he reached his son on his cell phone and talked to him for a couple of minutes .,Lee said he reached Scott on his cell phone and they talked for a couple minutes between noon and 2 p.m. on Dec. 24 .,1
59,select,Revenue in the most-recent quarter rose 5.4 percent to $ 45.9 billion .,Revenue rose 5.4 percent to $ 45.9 billion from $ 43.6 billion a year ago .,0
60,select,"CIA Director George Tenet said the two men were "" defined by dedication and courage . """,""" [ They ] were defined by dedication and courage , "" said the CIA 's director George Tenet .",1
61,select,Shares of Bristol-Myers rose to $ 28 in electronic trading from the $ 26.90 close on the New York Stock Exchange .,"Bristol shares rose $ 1.30 , or 5 percent , to $ 28.20 , after closing at $ 26.90 on the New York Stock Exchange .",1
62,select,"More than 1,000 people staged mostly peaceful protests during the talks , proclaiming that genetically modified foods weren 't the answer to the world 's food problems .","More than 1,000 people rallied over three days , proclaiming that genetically modified foods weren 't the answer to the world 's food problems .",1
63,select,"Sean Harrigan of Calpers , the California fund , said : "" Today we are trying to pull the pig from the trough .",""" Today we are trying to pull the pig away from the trough , "" Mr. Harrigan said .",1
64,select,"About 25 countries have signed in the past four months , and about half of those have been signed in the past few weeks .","According to the State Department list , about 25 nations have signed bilateral agreements in the past four months , about half in the past three weeks .",1
65,select,The Legislature on Wednesday sent Gov. Jeb Bush a bill it hopes will lower malpractice insurance rates and keep doctors from limiting their practices or moving out of state .,The Legislature on Wednesday approved a bill that caps damages received by medical malpractice plaintiffs in the hopes it will lower insurance rates and help the state retain doctors .,0
66,select,"Voters in Cleveland Heights , Ohio , were asked to decide whether to allow same-sex couples - and also unmarried heterosexual couples - to officially register as domestic partners .","Voters in Cleveland Heights , Ohio , approved a proposal allowing same-sex couples -- and also unmarried heterosexual couples -- to officially register as domestic partners .",1
67,select,"In three years , Lend Lease has slipped from a top-five stock , when its share price was around $ 24 , to 37th .","In the space of three years , Lend Lease has slipped from a top-five 5 stock when its share price hovered around $ 24 to 37th on the list .",1
68,select,"The Interior Minister , Al Mustapha Sahel , said the investigation "" points to a group that has been arrested recently "" , an apparent reference to Djihad Salafist .","Moroccan Interior Minister Al Mustapha Sahel told state-run 2M television late Saturday the investigation "" points to a group that has been arrested recently "" an apparent reference to Salafist Jihad .",1
69,select,"Now , nearly two years later , Mallard prepares for trial on charges of murder and tampering with evidence .","Chante Jawaon Mallard , 27 , is charged with murder and tampering with evidence .",1
70,select,"US authorities blame Al Qaeda for the attacks , which killed 231 people , including 12 Americans .","U.S. authorities blame Osama bin Laden 's al-Qaida network for the attacks , which killed 231 people , including 12 Americans .",1
71,select,Schering-Plough shares fell 72 cents to close at $ 18.34 on the New York Stock Exchange .,"The shares fell 72 cents , or 3.8 percent , to $ 18.34 Monday on the New York Stock Exchange .",1
72,select,This is the only planet that has been found in orbit around a binary star system .,The new found planet is the only one known to orbit such a double-star system .,1
73,select,"Rumsfeld , who has been feuding for two years with Army leadership , passed over nine active-duty four-star generals .","Rumsfeld has been feuding for a long time with Army leadership , and he passed over nine active-duty four-star generals .",1
74,select,""" We will work with the board to ensure a smooth transition . ""","He said federal regulators would work with the corporation to ensure a "" smooth transition . """,1
75,select,U.S. troops killed nearly two dozen suspected Taliban militants after coming under fire in southern Afghanistan in the latest in a series of such attacks .,"U.S. soldiers killed about two dozen suspected Taliban militants in southern Afghanistan after their convoy came under attack , the military said Sunday .",1
76,select,"Singapore Prime Minister Goh Chok Tong says China plays an important role in the integration of Asia , including managing the stresses and strains both within and between countries .","HAINAN PROVINCE , China : Singapore Prime Minister Goh Chok Tong said China plays an important role in the integration of Asia .",0
77,select,"We firmly believe we have an absolute right to use the common word ' spike ' as the name of our network . """,We firmly believe that we have an absolute right to use the common word ' spike ' to name our network .,1
78,select,The two blond opponents appeared almost identical in matching powder-blue outfits – to their dismay .,"The two blond opponents appeared almost identical because they wore matching powder-blue outfits - to their dismay . """,1
79,select,He is charged in three bombings in Atlanta _ including a blast at the 1996 Olympics _ along with the bombing in Alabama .,He is charged in three bombings in Atlanta including a blast at the 1996 Olympics and one in Alabama .,1
80,select,"He added International Business Machines Corp. ' s ( IBM ) endorsement of Linux has "" added credibility and an illusion of support and accountability . ""","Complicating the situation , he continued , are companies , like IBM , whose support of Linux "" has added credibility and an illusion of support and accountability . """,1
81,select,"Before addressing the economy , Bush discussed the terrorist attacks in Saudi Arabia , which killed as many as 29 people , including seven Americans .","The president began his speech by acknowledging the terrorist attacks in Saudi Arabia that killed at least 29 people , including seven Americans .",1
82,select,""" The impact of increased prices has only begun to be seen in the financial numbers of the company , "" Noranda president and chief executive officer Derek Pannell said .",""" The impact of increased prices has only begun to be seen in the financial numbers of the company , "" president and CEO Derek Pannell said in a statement .",1
83,select,"The stock closed Friday at $ 5.91 , down $ 1.24 , or 17 percent , on the Nasdaq Stock Market .","Shares of Brocade closed at $ 5.91 , down $ 1.24 , or 17.3 percent .",1
84,select,"That ought to be the standard — not how many people sign up , "" he said .",""" That ought to be the standard , not how many people actually signed up , "" Mr. Rule told the judge .",1
85,select,"The Dow Jones industrial average ended the day down 10.89 at 9,837.94 , after advancing 111.04 Wednesday .","The Dow Jones industrial average fell 10.89 points , or 0.11 percent , to 9,837.94 .",0
86,select,"But Close wondered whether the package would be worth the cost of licensing the third-party software , along with Salesforce.com 's rental price .","Close also questions whether it would be worth the cost of licensing third-party software , along with Salesforce.com 's rental price .",1
87,select,Justice Anthony Kennedy dissented in an opinion joined by Chief Justice William Rehnquist and Justices Antonin Scalia and Clarence Thomas .,He was joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas .,1
88,select,"This change in attitude gave upscale purveyors including Neiman Marcus , the parent of Bergdorf Goodman ; and Nordstrom strong sales gains in May .","This change in attitude gave upscale purveyors including Neiman Marcus Group Inc. and Nordstrom Inc . , along with some boutique retailers , strong sales gains in May .",1
89,select,"About $ 250,000 worth of her jewelry was discovered last week at Kennedy International Airport , where it had up and disappeared before a flight to the BET Awards .","An estimated $ 250,000 worth of jewelry belonging to the hip-hop performer was recovered Friday at Kennedy Airport , where it had disappeared June 20 .",1
90,select,A power cut in New York in 1977 left 9 million people without electricity for up to 25 hours .,"The outage resurrected memories of other massive power blackouts , including one in 1977 that left about 9 million people without electricity for 25 hours .",0
91,select,"Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .","ELENA Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .",1
92,select,""" I ´ m very proud of the citizens of this state , "" Gov. John Baldacci said after votes from Tuesday ´ s referendum were counted .",""" I 'm very proud of the citizens of this state , "" said Gov. John Baldacci , a casino foe .",0
93,select,"All three were studied for fingerprints , DNA and other traces of evidence , but prosecutors have not yet testified to what , if anything , they yielded .","All three were studied for fingerprints , DNA and other traces of evidence , but there has been no testimony yet about what the tests might have yielded .",1
94,select,""" To make sure that we avoided any perception of wrongdoing , we are not co-mingling appropriated and non-appropriated funds ( from Congress ) , "" said Faletti .",""" To make sure that we avoided any perception of wrongdoing , we are not comingling appropriated and nonappropriated funds [ from Congress ] , "" said Faletti .",1
95,select,"The vast majority of trades will be priced at 20 cents per contract or less depending on participation in incentive schemes . ""","Eurex said "" the vast majority "" of trades on Eurex US would be priced at 20 cents per contract or less depending on "" participation in incentive schemes "" .",1
96,select,""" This new division will be focused on the vitally important task of protecting the nation 's cyber assets so that we may best protect the nation ’ s critical infrastructure assets . """,""" This new division will be focused on the vitally important task of protecting the nation 's cyberassets so that we may best protect the nation 's critical infrastructure assets , "" he added .",1
97,select,"The group criticizing Schwarzenegger , the League of United Latin American Citizens , said the Austrian-born actor 's advisory board position brings into question his commitment to Latinos .","The League of United Latin American Citizens , the group criticizing Schwarzenegger , said the Austrian-born actor 's advisory board position brings into question his commitment to Hispanics .",1
98,select,""" I think it should have been released years ago , "" said Brian Rohrbough , whose son , Daniel , was killed at Columbine .","Brian Rohrbough , whose son , Daniel , was killed at Columbine , said the tape raises disturbing issues .",0
99,select,"He was voluntarily castrated in 2001 , an operation he contends removed his ability to become sexually aroused .","DeVries , who was voluntarily castrated in August 2001 , has said the surgery took away his ability to become sexually aroused .",1
100,select,""" I 'm taking his office , and we 're gonna keep on building , ' ' he vowed . """,""" Yes , I 'm taking his office and we 're going to keep on building and keep on fighting , "" he added .",0
101,select,"He said European governments "" have blocked all new bio-crops because of unfounded , unscientific fears .",""" They have blocked all new bio-crops because of unfounded , unscientific fears , "" Bush said .",1
102,select,Dividends are currently taxed at ordinary income tax rates of as much as 38.6 per cent .,"Under current law , dividends are taxed at standard income tax rates up to 38.6 percent .",1
103,select,"By skirting the FDA 's oversight , Eagan said , the quality of the imported drugs is "" less predictable "" than for those obtained in the United States .","By skirting the FDA 's oversight , Eagan said the quality of the imported drugs is "" less predictable "" than U.S. drugs .",1
104,select,"Officials in Malawi said the five suspects had been on the CIA 's "" watch list "" since the twin 1998 truck bombings of U.S. embassies in Kenya and Tanzania .",Officials in Malawi said the men were on the CIA 's ' ' watch list ' ' since the twin 1998 bombings at the US embassies in Kenya and Tanzania .,1
105,select,"According to the Merchant Marine Ministry , the 37-year-old ship is registered to Alpha Shipping Inc. based in the Pacific Ocean nation of Marshall Islands .",The Baltic Sky is a 37-year-old ship registered to Alpha Shipping Inc. based in the Pacific Ocean nation of Marshall Islands .,1
106,select,"The test was conducted by the University of California at Los Angeles and Riverside and was paid $ 450,000 from the ARB .","The test , conducted by UCLA and UC Riverside , was paid for with $ 450,000 from the ARB .",1
107,select,He said he has begun a court action to seize Beacon Hill 's assets and has frozen more than $ 13 million Beacon Hill had when it closed .,He said he has initiated a forfeiture action in court and frozen more than $ 13 million Beacon Hill had when it closed .,1
108,select,Researchers found that people 65 and older who had fish once a week had a 60 % lower risk of Alzheimer 's than those who never or rarely ate fish .,"Older people who eat fish at least once a week could cut their risk of Alzheimer 's by more than half , a study suggests .",1
109,select,"I called the number and the lady told me she was talking on the phone to Toby Studabaker , ' ' Sherry Studabaker told BBC television .","I called the number and the lady told me she was talking on the phone to Toby Studabaker . """,1
110,select,"Cross-dressing teens from Harvey Milk High School offered sex for money in Greenwich Village and then robbed the would-be johns by pretending to be cops , sources said last night .","Four Harvey Milk High School students who dressed as women were arrested yesterday for robbing men in the West Village - and pretending to be police officers , sources said .",1
111,select,Parson was charged with intentionally causing and attempting to cause damage to protected computers .,Parson is charged with one count of intentionally causing damage to a protected computer .,1
112,select,"Hoffa , 62 , vanished on the afternoon of July 30 , 1975 , from a Bloomfield Township parking lot in Oakland County , about 25 miles north of Detroit .","Hoffa , 62 , vanished on the afternoon of July 30 , 1975 , from a parking lot in a Detroit suburb in Oakland County .",1
