idx,usage,sentence,ground_truth_label
1,select,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ",0
2,select,"one of the more irritating cartoons you will see this , or any , year . ",0
3,select,"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again . ",0
4,select,an unwise amalgam of broadcast news and vibes . ,0
5,select,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ",0
6,select,"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . ",0
7,select,"for starters , the story is just too slim . ",0
8,select,i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers . ,0
9,select,teen movies have really hit the skids . ,0
10,select,the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not . ,0
11,select,does little more than play an innocuous game of fill-in - the-blanks with a tragic past . ,0
12,select,the script is n't very good ; not even someone as gifted as hoffman ( the actor ) can make it work . ,0
13,select,this movie is maddening . ,0
14,select,"utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film . ",0
15,select,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0
16,select,"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they 're being streamed over a 28k modem . ",0
17,select,i hate it . ,0
18,select,"well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull . ",0
19,select,"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom . ",0
20,select,so bad ,0
21,select,"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere . ",0
22,select,"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions . ",0
23,select,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0
24,select,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,0
25,select,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss . ,0
26,select,a $ 40 million version of a game ,0
27,select,... the movie is just a plain old monster . ,0
28,select,"it can not be enjoyed , even on the level that one enjoys a bad slasher flick , primarily because it is dull . ",0
29,select,does n't leave you with much . ,0
30,select,"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ",0
31,select,it 's everything you do n't go to the movies for . ,0
32,select,"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking . ",0
33,select,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,0
34,select,"it 's a cookie-cutter movie , a cut-and-paste job . ",0
35,select,"it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation . ",0
36,select,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",0
37,select,the overall effect is less like a children 's movie than a recruitment film for future hollywood sellouts . ,0
38,select,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,0
39,select,"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam . ",0
40,select,an extremely unpleasant film . ,0
41,select,i 'm just too bored to care . ,0
42,select,"what is 100 % missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting . ",0
43,select,"portentous and pretentious , the weight of water is appropriately titled , given the heavy-handedness of it drama . ",0
44,select,the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life . ,0
45,select,not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers . ,0
46,select,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,0
47,select,this nickleby thing might have more homosexual undertones than an eddie murphy film . ,0
48,select,"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ",0
49,select,"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity . ",0
50,select,big fat waste of time . ,0
51,select,"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ",0
52,select,"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",0
53,select,in this wildly uneven movie ,0
54,select,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,0
55,select,it is supremely unfunny and unentertaining to watch middle-age and ,0
56,select,a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . ,0
57,select,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0
58,select,"stultifyingly , dumbfoundingly , mind-numbingly bad . ",0
59,select,"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! ' ",0
60,select,"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) ",0
61,select,"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original . ",0
62,select,"this piece of channel 5 grade trash is , quite frankly , an insult to the intelligence of the true genre enthusiast . ",0
63,select,far less sophisticated and ,0
64,select,too much of it feels unfocused and underdeveloped . ,0
65,select,the movie 's accumulated force still feels like an ugly knot tightening in your stomach . ,0
66,select,... is an arthritic attempt at directing by callie khouri . ,0
67,select,do n't be fooled by the impressive cast list - eye see you is pure junk . ,0
68,select,a sometimes tedious film . ,0
69,select,a valueless kiddie paean to pro basketball underwritten by the nba . ,0
70,select,"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . ",0
71,select,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0
72,select,"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class . ",0
73,select,"like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ",0
74,select,suffers from the lack of a compelling or comprehensible narrative . ,0
75,select,"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination . ",0
76,select,"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor ",0
77,select,"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution . ",0
78,select,"while it 's genuinely cool to hear characters talk about early rap records ( sugar hill gang , etc. ) , the constant referencing of hip-hop arcana can alienate even the savviest audiences . ",0
79,select,volletta wallace 's maternal fury ,0
80,select,burns never really harnesses to full effect the energetic cast . ,0
81,select,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,0
82,select,"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",0
83,select,chokes on its own depiction of upper-crust decorum . ,0
84,select,vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,0
85,select,a résumé loaded with credits like `` girl in bar # 3 ,0
86,select,"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",0
87,select,"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic . ",0
88,select,"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",0
89,select,a subject like this should inspire reaction in its audience ; the pianist does not . ,0
90,select,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ",0
91,select,is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance . ,0
92,select,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,0
93,select,"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun . ",0
94,select,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ",0
95,select,"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation . ",0
96,select,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,0
97,select,"adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . ",0
98,select,of special effects that run the gamut from cheesy to cheesier to cheesiest ,0
99,select,"wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty . ",0
100,select,confessions may not be a straightforward bio ,0
101,select,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too dull and pretentious to be engaging ... the isle defies an easy categorization . ",0
102,select,"nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting . ",0
103,select,"it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction . ",0
104,select,"and when you 're talking about a slapstick comedy , that 's a pretty big problem . ",0
105,select,... nothing scary here except for some awful acting and lame special effects . ,0
106,select,"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",0
107,select,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . ,0
108,select,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,0
109,select,of the most highly-praised disappointments i ,0
110,select,"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . ",0
111,select,"with its dogged hollywood naturalism and the inexorable passage of its characters toward sainthood , windtalkers is nothing but a sticky-sweet soap . ",0
112,select,"because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling . ",0
113,select,"dull , lifeless , and amateurishly assembled . ",0
114,select,"trite , banal , cliched , mostly inoffensive . ",0
115,select,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0
116,select,a bad idea from frame one ,0
117,select,being able to hit on a 15-year old when you 're over 100 ,0
118,select,"forced , familiar and thoroughly condescending . ",0
119,select,overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube . ,0
120,select,"from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie . ",0
121,select,"while the resident evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these . ",0
122,select,"a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment . ",0
123,select,is one big excuse to play one lewd scene after another . ,0
124,select,the story is bogus and ,0
125,select,"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments . ",0
126,select,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ",0
127,select,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0
128,select,it 's just filler . ,0
129,select,"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you . ",0
